Date,Price,21
1984.06,399.80,
1984.07,393.06,
1984.08,426.03,
1984.09,428.38,
1984.1,423.82,
1984.11,427.67,
1984.12,423.05,
1985.01,440.47,
1985.02,462.15,
1985.03,456.59,
1985.04,457.50,
1985.05,466.65,
1985.06,475.41,
1985.07,483.57,
1985.08,472.15,
1985.09,460.34,
1985.1,463.87,
1985.11,490.67,
1985.12,513.60,
1986.01,514.42,
1986.02,543.58,
1986.03,578.19,
1986.04,593.47,
1986.05,593.08,
1986.06,606.64,
1986.07,594.03,
1986.08,604.80,
1986.09,585.59,
1986.1,582.85,
1986.11,601.21,
1986.12,609.24,
1987.01,644.13,
1987.02,681.61,
1987.03,706.59,
